order_id,order_date,customer,product,category,quantity,price,region
1001,2026-01-05,Ravi,Laptop,Electronics,1,55000,South
1002,2026-01-06,Sita,Mouse,Electronics,2,800,South
1003,2026-01-08,Arun,Keyboard,Electronics,1,1500,North
1004,2026-01-10,Meena,Chair,Furniture,2,4500,West
1005,2026-01-12,Ravi,Desk,Furniture,1,7000,South
1006,2026-01-15,Kiran,Laptop,Electronics,1,60000,East
1007,2026-01-18,Sita,Chair,Furniture,1,5000,South
1008,2026-01-20,Arun,Monitor,Electronics,2,12000,North
1009,2026-01-22,Meena,Desk,Furniture,2,6500,West
1010,2026-01-25,Kiran,Mouse,Electronics,3,750,East
